submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label
TCGA-3C-AAAU-01,0.010867141,0.026729021,-0.025047015,-0.0033941902,0.027639598,0.024669714,-0.0031244792,0.76312625,-0.009571051,0.010481622,0.045752317,0.020442544,-0.020200651,-0.03129925,0.011365816,-0.0013137106,0.018072698,-0.00935194,-0.0017497465,-0.018942922,-0.03873097,-0.022426497,0.025153961,0.026823008,-0.008624867,0.0067707226,-0.033955947,0.0038264487,-0.050916906,0.00362999,-0.009036118,-0.0015694946,0
TCGA-3C-AALI-01,0.058668926,0.041688565,-0.029177722,0.019478936,0.010509156,-0.055028208,-0.004191447,-1.4269984,-0.011197707,-0.020057682,0.022509545,-0.00031714328,-0.014699627,0.003753528,0.01587706,-0.06435412,0.058447976,-0.049129773,0.039410204,-0.039835513,0.03143213,-0.036404517,-0.028305832,-0.009897688,-0.024781328,0.009889431,-0.017277718,-0.009952908,0.026548717,0.02275452,-0.0010121521,-0.012819931,0
TCGA-3C-AALJ-01,0.04403101,0.023338601,-0.01736128,0.022922967,-0.024885096,-0.02419126,-0.003278222,-1.3247464,0.0009332169,-0.031357672,0.02864293,-0.0044205207,0.051902484,-0.02371908,0.012962952,-0.018699104,0.05598041,-0.044897027,-0.034235254,-0.014891863,0.00044231117,-0.027184974,-0.044304404,0.005364375,-0.035452325,0.0070527494,-0.007924557,0.0005898718,0.009344179,-0.02152966,-0.005606545,-0.010884605,1
TCGA-3C-AALK-01,-0.032249674,0.0063056983,0.036915872,0.07005198,0.004530452,-0.05389542,0.0059578717,-1.102802,-0.02803251,-0.016032483,-0.042437628,-0.017750697,-0.010931622,0.057942897,0.018490262,-0.040340424,-0.024060812,-0.027289435,0.044432804,-0.022537522,0.06931444,-0.018489908,-0.031315718,-0.06823985,0.0045223907,0.031685792,0.027129427,-0.024086392,0.04051042,0.007645145,-0.010214904,0.0016043559,1
TCGA-4H-AAAK-01,-0.020805493,0.0134749,0.012294564,0.06198417,-0.0068273395,-0.06033469,0.0033003762,-1.2195796,-0.011171831,-0.015237387,-0.02429545,-0.004986273,-0.00084594265,0.039012805,0.023899838,-0.042712852,0.0038985051,-0.023237128,0.026591823,-0.013680808,0.04250782,-0.026924789,-0.035093654,-0.036858574,-0.003973469,0.019979127,0.015521169,-0.016324667,0.024416428,0.0065016598,-0.0050448645,-0.006584592,1
TCGA-5L-AAT0-01,-0.018290006,0.02277277,-0.03707854,-0.01639459,0.015975356,0.034314863,0.007910576,0.8204642,-0.018084364,0.027199168,0.035008088,0.016973509,0.014062997,-0.0032834038,0.022123314,0.00030467473,-0.019491661,0.01305291,0.0015644729,-0.03175196,-0.017458774,0.0056059435,0.013608035,0.011360783,0.032764435,0.008256428,-0.034598388,-0.009535192,-0.019029777,0.008029446,0.00042690895,0.007094823,1
TCGA-5L-AAT1-01,-0.017623432,0.0054891743,-0.008785065,0.00019710883,0.0153557025,0.02403339,-0.0018021204,0.7147212,-0.011308989,0.010657769,0.02772455,0.009738265,-0.00093751773,-0.008588627,0.012746692,0.0047160443,0.005817812,-0.00025194976,0.0017292649,-0.0098161325,0.005331658,-0.0028553903,0.011555325,0.010976575,0.005345404,0.0033679008,-0.007143706,-0.0014083665,-0.011604276,-0.0042018816,-0.016167277,0.0075346455,1
TCGA-5T-A9QA-01,0.08679913,0.039221585,-0.06033593,-0.0032247864,-0.021385908,-0.02666923,-0.00393676,-1.6493798,0.013315724,-0.027900752,0.06742163,0.007675955,0.019553479,-0.038100563,0.011798479,-0.04719361,0.09004173,-0.035197183,0.012171604,-0.023097478,0.0035272464,-0.036067333,-0.02226505,0.034192815,-0.03066485,0.0024575666,-0.057013467,0.025101403,-0.0129641555,0.022426322,0.017941432,-0.01666854,1
TCGA-A1-A0SB-01,-0.017968342,0.008119684,-0.01247647,-0.006508928,0.0120278485,0.022305079,-0.00013547018,0.7298706,-0.010861663,0.009368207,0.030302987,0.011121882,-0.0016057454,-0.017612532,0.009018905,0.008252209,0.0097243,-0.0047664354,0.00050554425,-0.0077178925,-0.002809234,-0.0034099258,0.016364481,0.018895416,0.0043043047,0.0018781349,-0.01388441,0.0031007025,-0.014482457,-0.0032024905,-0.020444991,0.0033419654,1
TCGA-A1-A0SD-01,-0.0070639774,0.01592068,-0.017121833,0.0048918016,0.0006574765,0.030565523,0.010231968,0.70855814,-0.007868284,0.0137708895,0.019537553,0.006074412,-0.010680709,-0.023064345,0.016282357,0.006060755,-0.00034103915,-0.0057067284,0.0031358674,0.0026002377,-0.002723895,0.004343804,0.0038075708,0.017239839,0.004620753,0.007396266,-0.012848593,0.0032890905,-0.028419461,-0.0037253797,-0.009687902,-0.006114565,1
