submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label
TCGA-3C-AAAU-01,0.008157194,0.0032428168,-0.0038717613,0.0020001754,0.00026791543,-0.002477467,0.0018149838,-0.0010563321,0.0037406087,0.002831772,-0.00062341243,0.003995601,-0.0016097389,0.003700219,0.00041021407,-0.004013814,-0.0041818097,0.0047961287,0.008267038,-0.0048311427,-0.007654518,0.0022689998,-0.003132254,0.0009376276,0.0037901402,0.0039446056,0.0037945881,0.002352302,-0.00033657253,-0.007464503,0.006431356,-0.0036540804,0
TCGA-3C-AALI-01,-0.008172594,0.007844102,-0.008153163,7.368624e-06,-0.0011427775,-0.0013341494,-0.005955495,-0.013723128,0.002955716,-0.0027065873,0.0033540651,0.013569079,-0.0029957034,-0.0016820952,0.0018710978,-0.0064994693,-0.00496532,0.007528834,0.0062701553,0.017713733,-0.0048907734,-0.0054017007,-0.012132183,0.008448577,-0.0069031045,-0.006757237,-0.0010021403,-0.005656055,0.00084576756,-0.0052101957,0.013850845,0.003165449,0
TCGA-3C-AALJ-01,-0.0051003397,0.007862791,-0.010584712,-0.0064627454,0.0006610453,0.00065345876,0.0008776188,-0.0042002425,0.0030062273,-0.000750117,-0.0080585405,0.007275276,0.0035565458,-0.0051022694,-0.0039189756,0.005534455,0.0038568974,0.00472622,0.0030535832,0.005607046,-0.007523775,0.0010518879,-0.0057712197,0.007431533,-0.008228987,-0.0073705837,0.003029868,0.005038482,-0.0021850765,-0.003671308,0.007048361,0.0043656966,1
TCGA-3C-AALK-01,-0.0079868585,0.006014731,-0.007059358,-0.0011932775,0.0028529242,-0.0027278326,-0.0011845678,-0.012691945,-0.00033605844,-0.006769575,-0.00022996962,0.013665369,-0.0006858595,-0.0007563606,-0.001491107,-0.0010444298,-0.006971739,0.0065890774,0.0039297044,0.018135048,0.0041116327,-0.0017254502,-0.007347107,0.010675975,-0.006025113,-0.0039343536,-0.0010399446,-0.004447314,0.0010214224,-0.0055762352,0.010518201,0.004503683,1
TCGA-4H-AAAK-01,-0.0030578077,0.0033752061,-0.0046091974,-0.0022519454,0.0026630983,-0.0020354353,0.0018562302,-0.009503797,0.00094376877,-0.004885666,-0.0012437925,0.009064574,0.00015371665,0.001993306,0.0013996996,-0.002387993,-0.0036751851,0.0026350394,0.0035891607,0.008980371,-0.0011667944,6.54757e-05,-0.0065081716,0.008121079,-0.0051332638,-0.0052167177,-0.0021774545,-0.0019021323,-0.00024412572,-0.0038206028,0.0063696876,0.0018003294,1
TCGA-5L-AAT0-01,0.006511137,0.0013000444,-0.0005948171,-0.0018167123,-0.0018498003,0.0016569514,0.0036152676,-0.00014969707,0.0040675476,0.004944198,-0.00466045,0.0019630548,0.001983568,0.0019320026,0.0012509897,-0.00088505447,-0.0038559511,0.0008328669,0.0014471263,-0.004638605,-0.008029282,0.0038124472,-0.0004684329,-0.0035233516,0.002075106,0.00037817657,0.0023505464,0.0009910213,-0.0024861991,-0.0037988694,0.00031987578,0.00020546,1
TCGA-5L-AAT1-01,0.0056453496,0.002945561,-0.00012552738,-0.0019915104,-0.0010936484,0.00026447698,0.0036345944,-0.0010314137,0.0018920153,0.004020579,-0.004274912,0.0017295983,0.0005964264,0.0017308965,0.00011171028,-0.0006495565,-0.004122488,0.0013573766,0.0018407255,-0.003383644,-0.0056125633,0.002334416,-0.00071306527,-0.0018013958,0.0019997135,0.0011082739,0.0009833574,0.0007169591,-0.000943698,-0.0021023722,0.0022566244,0.00018241722,1
TCGA-5T-A9QA-01,-0.0033826083,0.0035074055,-0.0064961687,-0.0019099489,0.0031839386,-0.0039331876,0.001435034,-0.007413864,-0.0012254082,-0.0075821504,0.0016394332,0.011406621,0.0024937578,0.0030137524,0.004179865,-0.0076610744,-0.0031823888,0.0018306151,0.0052469075,0.010530002,0.00039619952,-0.0019990206,-0.0104224235,0.011996888,-0.005578831,-0.0036777556,-0.0031656101,-0.0017674705,0.0022045374,-0.0045423107,0.009058364,0.0030112313,1
TCGA-A1-A0SB-01,0.005532369,0.00276817,0.0003278628,-0.0017862096,-0.0012444556,0.00036479533,0.0035889894,-0.00092651695,0.0022720955,0.0040543824,-0.0047005266,0.0023160074,0.00062806904,0.0020613447,0.00019480288,-0.00075327605,-0.0032650009,0.0014810339,0.0023629442,-0.0036619306,-0.00571277,0.0018597096,-0.0012255013,-0.0019148644,0.0011678338,0.0016055405,0.00075417757,0.0011109384,-0.00141339,-0.0020541819,0.0023370683,0.00022558775,1
TCGA-A1-A0SD-01,0.0080602765,0.004319269,0.0006547421,-0.00034401566,0.0028669015,0.0021424033,0.0046856776,-9.433925e-05,0.0026678257,0.003732793,-0.004317768,0.002521215,0.00068822503,0.0031383932,0.0023875646,0.0008703917,-0.0024962947,0.0029770546,0.0021939501,-0.0046265647,-0.003961973,0.0019107908,-0.0031497777,-0.0021073632,0.0028611422,0.0006310195,-7.785112e-05,0.0015442455,0.0009418726,-0.003296581,0.003155455,-0.0005301712,1
